"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"62096","서울특별시 강동구 암사동","442-1","0442","0001","한강현대","전세","84.9300","202601","17","57,750","0","22","1999","올림픽로104길 42","202601~202701","갱신","사용","55,000","0","아파트"
"62097","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","59.6400","202601","17","58,000","0","21","2002","상암로 11","202603~202803","신규","-","","","아파트"
"62098","서울특별시 강동구 강일동","695","0695","0000","강일리버파크10단지","전세","84.5300","202601","17","50,400","0","4","2009","고덕로97길 20","202603~202803","갱신","사용","48,000","0","아파트"
"62099","서울특별시 강동구 강일동","670","0670","0000","강일리버파크5단지","월세","84.8300","202601","17","10,000","160","1","2009","아리수로97길 20","202602~202802","갱신","사용","10,000","160","아파트"
"62100","서울특별시 강동구 강일동","674","0674","0000","강일리버파크3단지","전세","84.5300","202601","17","64,000","0","11","2009","아리수로93길 40","202603~202803","신규","-","","","아파트"
"62101","서울특별시 강동구 강일동","114","0114","0000","강동리버스트4단지","전세","59.9900","202601","17","45,150","0","10","2020","아리수로93가길 110","202603~202803","갱신","사용","43,000","0","아파트"
"62102","서울특별시 강동구 강일동","72","0072","0000","힐스테이트리슈빌강일","전세","84.6331","202601","17","70,000","0","3","2023","아리수로93다길 80","202603~202803","신규","-","","","아파트"
"62103","서울특별시 강동구 강일동","695","0695","0000","강일리버파크10단지","전세","84.7400","202601","17","52,500","0","8","2009","고덕로97길 20","202602~202802","갱신","사용","50,000","0","아파트"
"62104","서울특별시 강동구 강일동","686","0686","0000","강일리버파크7단지","전세","84.7400","202601","17","65,000","0","15","2009","아리수로98길 25","202603~202803","신규","-","","","아파트"
"62105","서울특별시 강동구 성내동","434-13","0434","0013","다성이즈빌아파트","월세","37.5600","202601","17","15,000","80","4","2016","성내로 91","202602~202802","신규","-","","","아파트"
"62106","서울특별시 강동구 성내동","419-1","0419","0001","둔촌역청구","전세","59.8700","202601","17","53,000","0","9","1999","풍성로 196","202604~202804","갱신","-","45,000","0","아파트"
"62107","서울특별시 강동구 성내동","194","0194","0000","에스케이허브진","월세","47.3600","202601","17","5,000","125","12","2004","천호대로 1092","202604~202804","신규","-","","","아파트"
"62108","서울특별시 강동구 성내동","467-1","0467","0001","새한올림픽","전세","82.2200","202601","17","52,000","0","1","2001","성내로6다길 115","202603~202803","갱신","-","47,000","0","아파트"
"62109","서울특별시 강동구 성내동","295","0295","0000","성안마을청구","전세","59.9300","202601","17","50,400","0","12","2002","풍성로 114-1","202604~202804","갱신","사용","48,000","0","아파트"
"62110","서울특별시 강동구 성내동","295","0295","0000","성안마을청구","전세","37.8000","202601","17","39,900","0","2","2002","풍성로 114-1","202601~202801","갱신","사용","38,000","0","아파트"
"62111","서울특별시 강동구 성내동","454-1","0454","0001","해가든(454-1)","월세","82.9700","202601","17","10,000","200","5","2005","성내로6길 34-15","202602~202802","신규","-","","","아파트"
"62112","서울특별시 강동구 성내동","611","0611","0000","그란츠리버파크","전세","84.9994","202601","17","107,000","0","25","2025","천호대로 1050","202604~202804","신규","-","","","아파트"
"62113","서울특별시 강동구 천호동","432-7","0432","0007","아스하임","월세","12.8800","202601","17","14,490","29","9","2021","올림픽로 663","202602~202802","신규","-","","","아파트"
"62114","서울특별시 강동구 천호동","467-11","0467","0011","현진리버파크","전세","23.0800","202601","17","25,000","0","6","2017","구천면로 144","202602~202802","갱신","-","25,000","0","아파트"
"62115","서울특별시 강동구 천호동","467-11","0467","0011","현진리버파크","전세","23.0800","202601","17","25,001","0","6","2017","구천면로 144","202602~202802","갱신","-","25,000","0","아파트"
"62116","서울특별시 강동구 천호동","217-132","0217","0132","동아하이빌아파트","전세","59.9800","202601","17","45,000","0","1","2000","구천면로 278","202602~202802","신규","-","","","아파트"
"62117","서울특별시 강동구 천호동","467-11","0467","0011","현진리버파크","월세","23.2400","202601","17","8,000","71","8","2017","구천면로 144","202602~202612","갱신","-","8,000","67","아파트"
"62118","서울특별시 강동구 천호동","571","0571","0000","래미안강동팰리스","전세","84.9700","202601","17","93,000","0","38","2017","천호대로 1077","202604~202804","신규","-","","","아파트"
"62119","서울특별시 강동구 천호동","467-11","0467","0011","현진리버파크","전세","23.0800","202601","17","25,000","0","6","2017","구천면로 144","202605~202805","갱신","-","25,000","0","아파트"
"62120","서울특별시 강동구 천호동","217-132","0217","0132","동아하이빌아파트","전세","59.9800","202601","17","45,000","0","1","2000","구천면로 278","202602~202802","신규","-","","","아파트"
"62121","서울특별시 강동구 천호동","564","0564","0000","성원아파트","전세","109.4400","202601","17","52,000","0","9","1998","진황도로31길 26","202604~202804","신규","-","","","아파트"
"62122","서울특별시 강동구 천호동","432-7","0432","0007","아스하임","월세","12.8800","202601","17","14,490","29","9","2021","올림픽로 663","202602~202802","신규","-","","","아파트"
"62123","서울특별시 강동구 천호동","423-200","0423","0200","강동밀레니얼중흥S-클래스","전세","84.2711","202601","17","84,000","0","26","2024","올림픽로78길 60","202603~202803","신규","-","","","아파트"
"62124","서울특별시 강동구 천호동","328-1","0328","0001","집앤사스윗사이드아파트","월세","14.0200","202601","17","3,000","74","2","2019","천중로 6","202604~202804","신규","-","","","아파트"
"62125","서울특별시 성동구 성수동2가","835","0835","0000","롯데캐슬파크","월세","81.5670","202601","17","5,000","290","3","2003","성수일로8길 47","202601~202801","신규","-","","","아파트"
"62126","서울특별시 중구 묵정동","35","0035","0000","힐스테이트남산","월세","21.0500","202601","17","3,000","135","3","2024","퇴계로46길 26","202601~202701","신규","-","","","아파트"
"62127","서울특별시 성동구 상왕십리동","811","0811","0000","텐즈힐(2단지)","월세","127.4400","202601","17","90,000","130","10","2014","마장로 137","202603~202803","신규","-","","","아파트"
"62128","서울특별시 성동구 상왕십리동","811","0811","0000","텐즈힐(2단지)","전세","127.4400","202601","17","117,600","0","7","2014","마장로 137","202602~202802","갱신","사용","112,000","0","아파트"
"62129","서울특별시 성동구 상왕십리동","811","0811","0000","텐즈힐(2단지)","월세","84.9200","202601","17","55,000","140","8","2014","마장로 137","202602~202802","신규","-","","","아파트"
"62130","서울특별시 성동구 상왕십리동","811","0811","0000","텐즈힐(2단지)","전세","84.9200","202601","17","88,000","0","6","2014","마장로 137","202602~202802","신규","-","","","아파트"
"62131","서울특별시 성동구 성수동1가","33-2","0033","0002","현대그린","전세","56.9700","202601","17","57,000","0","6","1994","뚝섬로3길 6","202603~202803","신규","-","","","아파트"
"62132","서울특별시 성동구 성수동1가","715","0715","0000","중앙하이츠빌","전세","84.7215","202601","17","72,923","0","11","2003","상원길 47","202603~202803","갱신","사용","69,450","0","아파트"
"62133","서울특별시 성동구 성수동1가","721","0721","0000","서울숲아이파크리버포레1차","전세","84.9572","202601","17","120,000","0","29","2024","왕십리로 137","202603~202803","신규","-","","","아파트"
"62134","서울특별시 성동구 성수동1가","723","0723","0000","서울숲아이파크리버포레2차","전세","59.9860","202601","17","92,000","0","5","2025","왕십리로 135","202604~202804","신규","-","","","아파트"
"62135","서울특별시 성동구 성수동1가","707","0707","0000","서울숲한양현대","전세","84.8100","202601","17","80,000","0","14","1999","상원1길 17","202602~202802","신규","-","","","아파트"
"62136","서울특별시 성동구 성수동1가","723","0723","0000","서울숲아이파크리버포레2차","월세","59.9913","202601","17","10,000","420","25","2025","왕십리로 135","202602~202802","신규","-","","","아파트"
"62137","서울특별시 성동구 성수동1가","723","0723","0000","서울숲아이파크리버포레2차","전세","59.9913","202601","17","90,000","0","10","2025","왕십리로 135","202602~202802","신규","-","","","아파트"
"62138","서울특별시 성동구 성수동1가","710","0710","0000","강변건영아파트","월세","84.9520","202601","17","20,000","310","20","2002","왕십리로 36","202604~202804","신규","-","","","아파트"
"62139","서울특별시 강남구 청담동","30-33","0030","0033","청담대림이-편한세상","전세","81.8400","202601","17","90,000","0","12","2002","학동로77길 27","-","-","-","","","아파트"
"62140","서울특별시 강남구 청담동","134-38","0134","0038","청담자이","전세","89.3560","202601","17","173,000","0","29","2011","영동대로138길 12","202601~202801","갱신","사용","165,000","0","아파트"
"62141","서울특별시 강남구 청담동","60","0060","0000","삼성청담공원아파트","월세","59.9300","202601","17","56,000","50","6","1999","도산대로96길 39","202602~202802","갱신","-","56,000","40","아파트"
"62142","서울특별시 강남구 청담동","10","0010","0000","삼환(101동)","전세","114.9700","202601","17","105,000","0","15","1999","학동로77길 49","202602~202802","갱신","사용","100,000","0","아파트"
"62143","서울특별시 강남구 청담동","30-33","0030","0033","청담대림이-편한세상","전세","81.8400","202601","17","90,000","0","12","2002","학동로77길 27","202602~202802","신규","-","","","아파트"
"62144","서울특별시 강남구 청담동","134-18","0134","0018","청담르엘","전세","84.5040","202601","17","180,000","0","20","2025","학동로 607","202602~202802","신규","-","","","아파트"
"62145","서울특별시 중구 순화동","217","0217","0000","덕수궁롯데캐슬","월세","69.5135","202601","17","5,000","350","4","2016","서소문로9길 28","202603~202703","신규","-","","","아파트"
"62146","서울특별시 강남구 청담동","134-18","0134","0018","청담르엘","전세","59.9089","202601","17","130,000","0","20","2025","학동로 607","202601~202801","신규","-","","","아파트"
"62147","서울특별시 용산구 서빙고동","241-21","0241","0021","신동아","전세","95.6600","202601","17","68,250","0","11","1984","이촌로 347","202601~202801","갱신","사용","65,000","0","아파트"
"62148","서울특별시 용산구 서빙고동","241-21","0241","0021","신동아","월세","140.8100","202601","17","70,000","120","9","1985","이촌로 347","202603~202803","신규","-","","","아파트"
"62149","서울특별시 중구 만리동2가","273","0273","0000","서울역센트럴자이","월세","59.9430","202601","17","65,000","60","6","2017","만리재로 175","202602~202611","갱신","-","65,000","0","아파트"
"62150","서울특별시 중구 만리동2가","273","0273","0000","서울역센트럴자이","전세","84.9918","202601","17","90,000","0","21","2017","만리재로 175","202602~202802","신규","-","","","아파트"
"62151","서울특별시 중구 만리동2가","288","0288","0000","서울역한라비발디센트럴","전세","84.9728","202601","17","83,000","0","2","2018","만리재로 177","202603~202803","신규","-","","","아파트"
"62152","서울특별시 중구 만리동2가","273","0273","0000","서울역센트럴자이","전세","84.9918","202601","17","20,000","0","18","2017","만리재로 175","-","-","-","","","아파트"
"62153","서울특별시 성동구 성수동2가","745","0745","0000","강변청구3","월세","59.9400","202601","17","20,000","70","11","1995","성수이로2길 4","202602~202802","갱신","사용","20,000","70","아파트"
"62154","서울특별시 강남구 역삼동","716","0716","0000","동부센트레빌","월세","84.9700","202601","17","73,500","173","5","1998","선릉로 423","202602~202802","갱신","사용","70,000","165","아파트"
