"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"124","서울특별시 종로구 체부동","9*","8m미만","18.00","월세","202604","27","2,000","55","1996","자하문로5길","202605~202705","갱신","-","2,000","50","단독다가구"
"125","서울특별시 용산구 이태원동","2**","8m미만","38.73","월세","202604","27","2,000","150","2006","회나무로10길","202605~202805","신규","-","","","단독다가구"
"126","서울특별시 용산구 이태원동","4**","12m미만","25.56","월세","202604","27","500","50","1997","녹사평대로40나길","202604~202704","신규","-","","","단독다가구"
"127","서울특별시 광진구 중곡동","6**","12m미만","50.00","월세","202604","27","6,000","75","2005","긴고랑로14길","202605~202805","신규","-","","","단독다가구"
"128","서울특별시 광진구 자양동","7**","8m미만","35.00","월세","202604","27","8,000","40","1986","자양로19길","202606~202806","신규","-","","","단독다가구"
"129","서울특별시 성동구 마장동","3**","8m미만","18.00","월세","202604","27","3,000","40","1978","마조로12길","202604~202804","신규","-","","","단독다가구"
"130","서울특별시 광진구 구의동","2*","12m미만","19.80","전세","202604","27","6,000","0","1993","자양로","202605~202805","신규","-","","","단독다가구"
"131","서울특별시 광진구 구의동","2**","8m미만","43.00","월세","202604","27","3,000","70","1993","구의로4길","202605~202805","신규","-","","","단독다가구"
"132","서울특별시 광진구 자양동","5**","8m미만","25.00","월세","202604","27","200","20","1989","뚝섬로31가길","202607~202804","신규","-","","","단독다가구"
"133","서울특별시 광진구 자양동","4*","8m미만","23.00","월세","202604","27","500","50","1987","동일로10다길","202604~202804","신규","-","","","단독다가구"
"134","서울특별시 광진구 중곡동","5*","8m미만","43.67","전세","202604","27","12,000","0","1976","천호대로117길","202606~202806","신규","-","","","단독다가구"
"135","서울특별시 광진구 중곡동","6**","25m미만","42.00","전세","202604","27","19,000","0","2012","면목로","202605~202805","갱신","-","19,000","0","단독다가구"
"136","서울특별시 광진구 자양동","2**","12m미만","37.82","전세","202604","27","15,000","0","1993","동일로2길","202605~202805","신규","-","","","단독다가구"
"137","서울특별시 중구 신당동","4**","8m미만","30.00","전세","202604","27","5,500","0","1988","동호로11나길","202605~202805","신규","-","","","단독다가구"
"138","서울특별시 강남구 논현동","2**","8m미만","40.00","월세","202604","27","20,000","55","1996","선릉로127길","202604~202804","갱신","사용","20,000","50","단독다가구"
"139","서울특별시 성동구 송정동","6*","8m미만","19.00","월세","202604","27","500","50","2017","송정12길","202604~202804","신규","-","","","단독다가구"
"140","서울특별시 중구 신당동","1**","8m미만","30.84","월세","202604","27","9,500","20","2000","퇴계로88길","202605~202805","갱신","-","9,000","0","단독다가구"
"141","서울특별시 광진구 중곡동","8*","8m미만","19.80","월세","202604","27","4,000","15","1990","긴고랑로38길","202605~202805","신규","-","","","단독다가구"
"142","서울특별시 중랑구 망우동","4**","12m미만","50.00","월세","202604","27","1,000","43","1988","봉우재로70길","202605~202805","신규","-","","","단독다가구"
"143","서울특별시 성북구 상월곡동","2*","8m미만","18.75","월세","202604","27","4,000","35","2020","화랑로18라길","202607~202807","신규","-","","","단독다가구"
"144","서울특별시 중랑구 묵동","1**","8m미만","35.00","전세","202604","27","18,000","0","2015","동일로160길","202606~202806","신규","-","","","단독다가구"
"145","서울특별시 동대문구 전농동","1**","8m미만","21.00","월세","202604","27","150","18","1995","전농로27길","202604~202610","신규","-","","","단독다가구"
"146","서울특별시 동대문구 장안동","1**","8m미만","30.00","월세","202604","27","1,000","50","1993","한천로14길","202606~202806","신규","-","","","단독다가구"
"147","서울특별시 성북구 장위동","2**","8m미만","81.72","월세","202604","27","19,000","55","1982","돌곶이로41길","202605~202805","신규","-","","","단독다가구"
"148","서울특별시 성북구 장위동","2**","8m미만","75.01","월세","202604","27","15,000","50","1970","장위로31길","202605~202805","신규","-","","","단독다가구"
"149","서울특별시 성북구 정릉동","6**","8m미만","38.00","월세","202604","27","5,000","45","1989","솔샘로16길","202605~202805","갱신","-","5,000","30","단독다가구"
