시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 은평구 역촌동,42-24,삼환주택,전세,33.25,"11,500",0,진흥로1길 10,연립다세대
서울특별시 강북구 미아동,215-105,은행주택(215-105),전세,43.03,"34,000",0,도봉로57길 18-7,연립다세대
서울특별시 동대문구 전농동,648-15,블루버드전농,전세,29.85,"23,500",0,서울시립대로4길 9-9,연립다세대
서울특별시 용산구 청파동3가,134-69,더클래스용산F,전세,25.02,"24,000",0,원효로89길 18-25,연립다세대
서울특별시 용산구 용문동,38-186,해비치,전세,45.625,"28,665",0,효창원로37가길 17,연립다세대
서울특별시 강남구 역삼동,639-12,중원,월세,50.01,"32,300",6,테헤란로19길 34-14,연립다세대
서울특별시 용산구 용문동,8-1,용문파크빌　,전세,29.94,"27,000",0,백범로74길 43-2,연립다세대
서울특별시 광진구 중곡동,33-60,해다온,전세,38.0,"20,000",0,긴고랑로19길 39,연립다세대
서울특별시 종로구 창신동,647-28,라비앙종로,전세,41.14,"31,500",0,창신4나길 6-18,연립다세대
서울특별시 성북구 성북동,29-14,(29-14),전세,23.0,"11,000",0,선잠로3가길 12,연립다세대
서울특별시 동대문구 전농동,127-244,유영코지빌,전세,46.42,"28,300",0,서울시립대로25길 17,연립다세대
서울특별시 동대문구 제기동,1156,성일빌라112동,전세,64.92,"26,700",0,왕산로23가길 13-1,연립다세대
서울특별시 강남구 논현동,149-18,라인빌리지(149-18),전세,18.84,"15,100",0,논현로123길 52-5,연립다세대
서울특별시 강남구 논현동,197-9,리안빌리지,전세,14.52,"15,490",0,강남대로114길 30,연립다세대
서울특별시 중랑구 중화동,320-109,MassinHouse,전세,17.1,"6,500",0,중랑역로3가길 4,연립다세대
서울특별시 용산구 후암동,406-7,(406-7),월세,27.08,"1,500",50,두텁바위로40길 15,연립다세대
서울특별시 용산구 후암동,406-7,(406-7),월세,27.08,"1,500",50,두텁바위로40길 15,연립다세대
서울특별시 성동구 행당동,293-8,K-TOWER2,월세,29.19,"30,000",20,왕십리로21가길 12,연립다세대
서울특별시 성동구 행당동,313-30,행당더힐,전세,29.08,"31,500",0,행당로11길 10,연립다세대
서울특별시 광진구 중곡동,62-59,파인빌(62-59),월세,58.96,"5,000",80,용마산로8길 20,연립다세대
서울특별시 강남구 역삼동,728-51,다올하우스,전세,29.51,"31,000",0,테헤란로32길 53,연립다세대
서울특별시 광진구 구의동,208-2,리치빌(208-2),월세,59.5,"29,600",20,광나루로46길 38,연립다세대
서울특별시 광진구 구의동,222-69,(222-69),월세,54.08,"14,000",40,자양로26길 97-11,연립다세대
서울특별시 용산구 서빙고동,104,(104-0),전세,46.59,"18,500",0,서빙고로65길 36,연립다세대
서울특별시 중랑구 망우동,184-25,세진하우스,월세,29.47,"26,800",10,망우로72길 21,연립다세대
서울특별시 중랑구 상봉동,104-31,현대아트빌,월세,65.69,"24,500",5,면목로92가길 5-10,연립다세대
서울특별시 성동구 금호동3가,9,(9-0),전세,45.24,"17,000",0,무수막길 25-1,연립다세대
